Karol,Papik,Xywka
Adam,Kowalski,Strzała
Anna,Nowak,Iskierka
Piotr,Wójcik,Migacz
Katarzyna,Szymańska,Smuga
Marcin,Lisowski,Tornado
Karolina,Kowalczyk,Skarabeusz
Michał,Jankowski,Szalony
Alicja,Wiśniewska,Szeptucha
Bartosz,Kaczmarek,Czarodziej
Natalia,Piotrowska,Zefir
Marek,Zieliński,Flash
Ewa,Kowalewska,Lunatyczka
Rafał,Mazurek,Wulkan
Dominika,Wróbel,Perełka
Kamil,Nowicki,Skrzat
Oliwia,Marciniak,Oranżada
Mateusz,Kwiatkowski,Radar
Magdalena,Górska,Kameleon
Tomasz,Michalski,Szybki
Nina,Sawicka,Myszołów
Karol,Papik,Xywka
Adam,Kowalski,Strzała
Anna,Nowak,Iskierka
Piotr,Wójcik,Migacz
Katarzyna,Szymańska,Smuga
Marcin,Lisowski,Tornado
Karolina,Kowalczyk,Skarabeusz
Michał,Jankowski,Szalony
Alicja,Wiśniewska,Szeptucha
Bartosz,Kaczmarek,Czarodziej
Natalia,Piotrowska,Zefir
Marek,Zieliński,Flash
Ewa,Kowalewska,Lunatyczka
Rafał,Mazurek,Wulkan
Dominika,Wróbel,Perełka
Kamil,Nowicki,Skrzat
Oliwia,Marciniak,Oranżada
Mateusz,Kwiatkowski,Radar
Magdalena,Górska,Kameleon
Tomasz,Michalski,Szybki
Nina,Sawicka,Myszołów
